Genotype	RNA	Sample_Category
NA20543	NA20543	all
NA20544	NA20544	all
NA20581	NA20581	all
NA20582	NA20582	all
NA20585	NA20585	all
NA20586	NA20586	all
NA20588	NA20588	all
NA20589	NA20589	all
NA20752	NA20752	all
NA20754	NA20754	all
NA20756	NA20756	all
NA20757	NA20757	all
NA20758	NA20758	all
NA20759	NA20759	all
NA20760	NA20760	all
NA20761	NA20761	all
NA20765	NA20765	all
NA20766	NA20766	all
NA20768	NA20768	all
NA20769	NA20769	all
NA20770	NA20770	all
NA20771	NA20771	all
NA20772	NA20772	all
NA20773	NA20773	all
NA20774	NA20774	all
NA20778	NA20778	all
NA20783	NA20783	all
NA20785	NA20785	all
NA20786	NA20786	all
NA20787	NA20787	all
NA20790	NA20790	all
NA20792	NA20792	all
NA20795	NA20795	all
NA20796	NA20796	all
NA20797	NA20797	all
NA20798	NA20798	all
NA20799	NA20799	all
NA20800	NA20800	all
NA20801	NA20801	all
NA20802	NA20802	all
NA20803	NA20803	all
NA20804	NA20804	all
NA20805	NA20805	all
NA20806	NA20806	all
NA20807	NA20807	all
NA20808	NA20808	all
NA20809	NA20809	all
NA20810	NA20810	all
NA20811	NA20811	all
NA20812	NA20812	all
NA20813	NA20813	all
NA20814	NA20814	all
NA20815	NA20815	all
NA20819	NA20819	all
NA20826	NA20826	all
NA20828	NA20828	all
